feature,gain_sum,gain_avg
total_sales_lag_4,4472283221314.0,81314240387.52727
avg_qty_per_order,4157072579805.1016,75583137814.63821
total_sales_lag_1,3256400907394.0,59207289225.34545
total_sales_rollstd_3,2844886486915.0,51725208853.0
avg_pages_viewed_lag_1,2207129083324.0,40129619696.8
total_quantity_lag_1,1834876154278.0,33361384623.236362
avg_session_duration_lag_1,1771039785764.0,32200723377.52727
week_idx,1692172503284.0,30766772786.98182
total_sales_lag_2,1435781587044.0,26105119764.436363
pct_returning_lag_1,1407993363445.0,25599879335.363636
total_sales_rollmean_4,1045365630838.0,19006647833.418182
total_sales_rollmean_3,691852832020.0,12579142400.363636
