feature,gain_sum,gain_avg
avg_qty_per_order,95712939776.0,1740235268.6545455
total_sales_lag_4,68421124360.0,1244020442.909091
total_sales_rollstd_3,66506698392.0,1209212698.0363636
total_sales_rollmean_4,57261427312.0,1041116860.2181818
total_sales_lag_1,56490381352.0,1027097842.7636364
avg_session_duration_lag_1,52382774112.0,952414074.7636364
total_sales_lag_2,48752670000.0,886412181.8181819
avg_pages_viewed_lag_1,48255703440.0,877376426.1818181
total_sales_rollmean_3,47632893333.0,866052606.0545454
pct_returning_lag_1,44608678080.0,811066874.1818181
total_quantity_lag_1,42603287760.0,774605232.0
week_idx,38600437408.0,701826134.6909091
